player_id,player,role,role_source,archetype,confidence,n_target,n_eff,xg_target,seasons_used,target_season
2547,Theo Hernández,DF,understat,left-side defender,0.541,0,11.0,0.0,2425,2627
12854,Martin Frese,DF,understat,left-side defender,0.373,0,11.0,0.0,2425+2526,2627
7605,Manuel Sánchez,DF,understat,left-side defender,0.359,1,10.5,0.01,2425+2526+2627,2627
13968,Daouda Guindo,DF,understat,left-side defender,0.437,0,10.5,0.0,2526,2627
8967,Lautaro Valenti,DF,understat,left-side defender,0.193,0,10.2,0.0,2425+2526,2627
4120,Álex Moreno,DF,understat,left-side defender,0.541,0,10.0,0.0,2425+2526,2627
8940,Antonee Robinson,DF,understat,left-side defender,0.42,3,10.0,0.28,2425+2526+2627,2627
1688,Andrew Robertson,DF,understat,left-side defender,0.279,1,9.8,0.06,2425+2526+2627,2627
2505,José Gayá,DF,understat,left-side defender,0.354,0,9.5,0.0,2425+2526,2627
4243,Christian Günter,DF,understat,left-side defender,0.771,0,9.5,0.0,2425+2526,2627
5065,Diego Rico,DF,understat,left-side defender,0.291,0,9.5,0.0,2425+2526,2627
10073,Adam Obert,DF,understat,left-side defender,0.258,2,9.2,0.08,2425+2526+2627,2627
11991,Lukas Ullrich,DF,understat,left-side defender,0.219,2,9.0,0.08,2425+2526+2627,2627
10243,Jacques Ekomie,DF,understat,left-side defender,0.035,2,8.8,0.05,2425+2526+2627,2627
9805,Álex Balde,DF,understat,left-side defender,0.511,0,8.0,0.0,2425+2526,2627
10291,Vitalii Mykolenko,DF,understat,left-side defender,0.528,0,8.0,0.0,2425+2526,2627
11824,Lucas Pires,DF,understat,left-side defender,0.733,0,8.0,0.0,2526,2627
10802,Lisandro Martínez,DF,understat,left-side defender,0.012,1,7.8,0.01,2425+2526+2627,2627
12841,Dayann Methalie,DF,understat,left-side defender,0.353,0,7.5,0.0,2526,2627
9217,Jesús Vázquez,DF,understat,left-side defender,0.585,2,7.2,0.08,2425+2526+2627,2627
4970,Luca Pellegrini,DF,understat,left-side defender,0.404,0,6.8,0.0,2425+2526,2627
8034,Georgios Kyriakopoulos,DF,understat,left-side defender,0.752,0,6.8,0.0,2425,2627
2594,Sergio Akieme,DF,understat,left-side defender,0.3,0,6.5,0.0,2425,2627
9810,Fran García,DF,understat,left-side defender,0.129,0,6.5,0.0,2425+2526,2627
1006,Luke Shaw,DF,understat,left-side defender,0.169,1,6.2,0.04,2425+2526+2627,2627
8009,Antonino Gallo,DF,understat,left-side defender,0.444,1,6.2,0.01,2425+2526+2627,2627
14387,Zaid Romero,DF,understat,left-side defender,0.047,1,6.0,0.14,2526+2627,2627
8852,Konstantinos Tsimikas,DF,understat,left-side defender,0.063,1,5.5,0.04,2425+2526+2627,2627
13414,Hennes Behrens,DF,understat,left-side defender,0.597,1,5.5,0.05,2526+2627,2627
7385,Javi Galán,DF,understat,left-side defender,0.404,0,5.2,0.0,2425+2526,2627
9715,Hiroki Ito,DF,understat,left-side defender,0.051,0,5.2,0.0,2425+2526,2627
548,Daley Blind,DF,understat,left-side defender,0.062,0,5.0,0.0,2425+2526,2627
6517,Charalampos Lykogiannis,DF,understat,left-side defender,0.309,0,5.0,0.0,2425+2526,2627
1164,Cristiano Biraghi,DF,understat,low-volume DF,0.389,0,4.8,0.0,2425+2526,2627
2163,Diego Llorente,DF,understat,low-volume DF,0.681,0,4.8,0.0,2425+2526,2627
5043,Kiko Femenía,DF,understat,low-volume DF,0.612,0,4.8,0.0,2425+2526,2627
7589,Wesley Fofana,DF,understat,low-volume DF,0.556,0,4.8,0.0,2425+2526,2627
7875,Christopher Trimmel,DF,understat,low-volume DF,0.602,0,4.8,0.0,2425+2526,2627
8303,Marin Pongracic,DF,understat,low-volume DF,0.182,0,4.8,0.0,2425+2526,2627
8413,Javier López,DF,understat,low-volume DF,0.293,0,4.8,0.0,2425+2526,2627
9952,Ridgeciano Haps,DF,understat,low-volume DF,0.045,1,4.8,0.57,2425+2627,2627
12272,Myles Lewis-Skelly,DF,understat,low-volume DF,0.174,3,4.8,0.16,2425+2526+2627,2627
13100,Juma Bah,DF,understat,low-volume DF,0.805,0,4.8,0.0,2425+2526,2627
64,Filip Kostic,DF,understat,low-volume DF,0.004,0,4.5,0.0,2526,2627
257,Jeremy Toljan,DF,understat,low-volume DF,0.334,0,4.5,0.0,2526,2627
418,Niklas Stark,DF,understat,low-volume DF,0.468,0,4.5,0.0,2425+2526,2627
1739,Eric Bailly,DF,understat,low-volume DF,0.424,0,4.5,0.0,2425+2526,2627
2958,Oleksandr Zinchenko,DF,understat,low-volume DF,0.241,0,4.5,0.0,2425+2526,2627
7268,Bafode Diakite,DF,understat,low-volume DF,0.685,0,4.5,0.0,2425+2526,2627
7306,Aihen Muñoz,DF,understat,low-volume DF,0.054,0,4.5,0.0,2425+2526,2627
9768,Jesús Areso,DF,understat,low-volume DF,0.541,1,4.5,0.08,2425+2526+2627,2627
9807,Gideon Mensah,DF,understat,low-volume DF,0.24,3,4.5,0.06,2425+2526+2627,2627
10576,Álvaro Fernández,DF,understat,low-volume DF,0.035,0,4.5,0.0,2526,2627
11243,Bashir Humphreys,DF,understat,low-volume DF,0.142,0,4.5,0.0,2526,2627
12258,Luc Zogbe,DF,understat,low-volume DF,0.406,1,4.5,0.05,2425+2526+2627,2627
12381,Panos Katseris,DF,understat,low-volume DF,0.301,1,4.5,0.07,2526+2627,2627
12783,Alessandro Circati,DF,understat,low-volume DF,0.831,0,4.5,0.0,2425+2526,2627
12858,Daniele Ghilardi,DF,understat,low-volume DF,0.556,0,4.5,0.0,2425+2526,2627
13456,Amar Dedic,DF,understat,low-volume DF,0.478,3,4.5,0.22,2425+2627,2627
13727,Quilindschy Hartman,DF,understat,low-volume DF,0.167,0,4.5,0.0,2526,2627
13740,David Møller Wolfe,DF,understat,low-volume DF,0.333,3,4.5,0.14,2526+2627,2627
13794,Arsène Kouassi,DF,understat,low-volume DF,0.369,0,4.5,0.0,2526,2627
13979,Mariano Troilo,DF,understat,low-volume DF,0.617,0,4.5,0.0,2526,2627
13983,David Carmo,DF,understat,low-volume DF,0.408,0,4.5,0.0,2526,2627
14019,Zé Pedro,DF,understat,low-volume DF,0.443,1,4.5,0.34,2526+2627,2627
579,Nathan Aké,DF,understat,low-volume DF,0.664,0,4.2,0.0,2425+2526,2627
5590,Tosin Adarabioyo,DF,understat,low-volume DF,0.73,0,4.2,0.0,2425+2526,2627
7472,Wilfried Stephane Singo,DF,understat,low-volume DF,0.492,0,4.2,0.0,2425,2627
8422,Javi Hernández,DF,understat,low-volume DF,0.153,0,4.2,0.0,2425,2627
9090,Ardian Ismajli,DF,understat,low-volume DF,0.708,0,4.2,0.0,2425+2526,2627
9699,Bamo Meïté,DF,understat,low-volume DF,0.716,0,4.2,0.0,2425+2526,2627
10293,Toti,DF,understat,low-volume DF,0.416,0,4.2,0.0,2425+2526,2627
10986,Kim Min-Jae,DF,understat,low-volume DF,0.561,0,4.2,0.0,2425+2526,2627
12782,Woyo Coulibaly,DF,understat,low-volume DF,0.577,0,4.2,0.0,2425+2526,2627
12848,Florent Hanin,DF,understat,low-volume DF,0.309,0,4.2,0.0,2425+2526,2627
12874,Richie Sagrado,DF,understat,low-volume DF,0.111,4,4.2,1.04,2425+2627,2627
13395,Danilo Veiga,DF,understat,low-volume DF,0.408,0,4.2,0.0,2425+2526,2627
342,Sead Kolasinac,DF,understat,low-volume DF,0.341,0,4.0,0.0,2425+2526,2627
399,Ulisses García,DF,understat,low-volume DF,0.143,0,4.0,0.0,2425+2526,2627
6852,Matt Doherty,DF,understat,low-volume DF,0.367,0,4.0,0.0,2425+2526,2627
6888,William Saliba,DF,understat,low-volume DF,0.353,0,4.0,0.0,2425+2526,2627
7742,Valentin Gendrey,DF,understat,low-volume DF,0.509,0,4.0,0.0,2425+2526,2627
8200,Logan Costa,DF,understat,low-volume DF,0.408,1,4.0,0.09,2425+2627,2627
9458,Josip Stanisic,DF,understat,low-volume DF,0.034,0,4.0,0.0,2425+2526,2627
9661,Igor Silva,DF,understat,low-volume DF,0.331,0,4.0,0.0,2526,2627
9678,Ethan Pinnock,DF,understat,low-volume DF,0.584,1,4.0,0.06,2425+2526+2627,2627
10200,Rafa Marín,DF,understat,low-volume DF,0.297,1,4.0,0.04,2425+2526+2627,2627
10467,Soumaila Coulibaly,DF,understat,low-volume DF,0.603,0,4.0,0.0,2425+2526,2627
12004,Joel Mvuka,DF,understat,low-volume DF,0.264,0,4.0,0.0,2526,2627
12537,Asier Osambela,DF,understat,low-volume DF,0.152,1,4.0,0.02,2526+2627,2627
12905,Nicolò Savona,DF,understat,low-volume DF,0.241,0,4.0,0.0,2425+2526,2627
12974,Karol Mets,DF,understat,low-volume DF,0.358,0,4.0,0.0,2425+2526,2627
13080,Ayden Heaven,DF,understat,low-volume DF,0.568,2,4.0,0.13,2425+2526+2627,2627
13426,Finn Jeltsch,DF,understat,low-volume DF,0.498,2,4.0,0.41,2425+2526+2627,2627
13447,Oliver Provstgaard,DF,understat,low-volume DF,0.72,1,4.0,0.09,2526+2627,2627
13875,Jamil Siebert,DF,understat,low-volume DF,0.405,1,4.0,0.09,2526+2627,2627
13893,Martin Vitík,DF,understat,low-volume DF,0.456,0,4.0,0.0,2526,2627
13904,Abdoulaye Faye,DF,understat,low-volume DF,0.633,0,4.0,0.0,2526,2627
14126,Montrell Culbreath,DF,understat,low-volume DF,0.192,0,4.0,0.0,2526,2627
14244,Simone Cinquegrano,DF,understat,low-volume DF,0.389,4,4.0,0.2,2627,2627
14345,Tomoya Ando,DF,understat,low-volume DF,0.676,0,4.0,0.0,2526,2627
14408,Bryan Okoh,DF,understat,low-volume DF,0.691,0,4.0,0.0,2526,2627
492,Héctor Bellerín,DF,understat,low-volume DF,0.362,0,3.8,0.0,2425+2526,2627
7511,Sacha Boey,DF,understat,low-volume DF,0.452,0,3.8,0.0,2425+2526,2627
8829,Nicolò Casale,DF,understat,low-volume DF,0.908,0,3.8,0.0,2425+2526,2627
9710,Armel Bella Kotchap,DF,understat,low-volume DF,0.339,2,3.8,0.5,2425+2526+2627,2627
11054,Juan Cabal,DF,understat,low-volume DF,0.094,0,3.8,0.0,2425+2526,2627
11819,Clinton Mata,DF,understat,low-volume DF,0.108,0,3.8,0.0,2425+2526,2627
12927,Ramon Hendriks,DF,understat,low-volume DF,0.286,0,3.8,0.0,2425+2526,2627
326,Pascal Stenzel,DF,understat,low-volume DF,0.687,0,3.5,0.0,2425+2526,2627
849,Chancel Mbemba,DF,understat,low-volume DF,0.311,0,3.5,0.0,2526,2627
1843,Matteo Bianchetti,DF,understat,low-volume DF,0.656,0,3.5,0.0,2526,2627
1857,David López,DF,understat,low-volume DF,0.413,0,3.5,0.0,2425+2526,2627
6180,Manuel Lazzari,DF,understat,low-volume DF,0.75,0,3.5,0.0,2425+2526,2627
6885,Axel Disasi,DF,understat,low-volume DF,0.294,0,3.5,0.0,2425+2526,2627
7081,Francisco Sierralta,DF,understat,low-volume DF,0.797,0,3.5,0.0,2526,2627
8780,Joël Veltman,DF,understat,low-volume DF,0.009,0,3.5,0.0,2425+2526,2627
8804,Felix Agu,DF,understat,low-volume DF,0.047,0,3.5,0.0,2425+2526,2627
8854,Tim Siersleben,DF,understat,low-volume DF,0.077,0,3.5,0.0,2425+2526,2627
9922,Jon Karrikaburu,DF,shot-profile,low-volume DF,0.199,0,3.5,0.0,2526,2627
11797,Maxime Colin,DF,understat,low-volume DF,0.41,0,3.5,0.0,2526,2627
12189,Hugo Rincón,DF,understat,low-volume DF,0.139,0,3.5,0.0,2526,2627
12984,Adam Dzwigala,DF,understat,low-volume DF,0.126,0,3.5,0.0,2425+2526,2627
13698,Rahim Alhassane,DF,understat,low-volume DF,0.152,2,3.5,0.36,2526+2627,2627
13946,João Mário,DF,understat,low-volume DF,0.566,0,3.5,0.0,2526,2627
14129,Xavi Espart,DF,understat,low-volume DF,0.239,3,3.5,0.1,2526+2627,2627
75,Niklas Süle,DF,understat,low-volume DF,0.667,0,3.2,0.0,2425+2526,2627
1241,Pedro Pereira,DF,understat,low-volume DF,0.454,0,3.2,0.0,2425,2627
2260,Daniel Carvajal,DF,understat,low-volume DF,0.271,0,3.2,0.0,2425+2526,2627
2484,Iñigo Martínez,DF,understat,low-volume DF,0.374,0,3.2,0.0,2425,2627
8831,Iyenoma Destiny Udogie,DF,understat,low-volume DF,0.083,0,3.2,0.0,2425+2526,2627
9652,Alidu Seidu,DF,understat,low-volume DF,0.63,0,3.2,0.0,2425+2526,2627
12769,Derek Cornelius,DF,understat,low-volume DF,0.69,1,3.2,0.06,2425+2627,2627
12791,Sergio González,DF,understat,low-volume DF,0.847,0,3.2,0.0,2425,2627
12944,Jakov Medic,DF,understat,low-volume DF,0.14,0,3.2,0.0,2425,2627
13050,Ignace Van der Brempt,DF,understat,low-volume DF,0.392,0,3.2,0.0,2425+2526,2627
1204,Patric,DF,understat,low-volume DF,0.155,0,3.0,0.0,2425+2526,2627
1264,Edoardo Goldaniga,DF,understat,low-volume DF,0.564,0,3.0,0.0,2425,2627
2228,Aritz Elustondo,DF,understat,low-volume DF,0.768,0,3.0,0.0,2425+2526,2627
6103,Dan-Axel Zagadou,DF,understat,low-volume DF,0.045,0,3.0,0.0,2526,2627
8197,Ilario Monterisi,DF,understat,low-volume DF,0.595,3,3.0,0.2,2627,2627
8351,Ki-Jana Hoever,DF,understat,low-volume DF,0.745,0,3.0,0.0,2425+2526,2627
8942,Aaron Hickey,DF,understat,low-volume DF,0.538,0,3.0,0.0,2526,2627
9512,Valentino Livramento,DF,understat,low-volume DF,0.486,0,3.0,0.0,2425+2526,2627
9833,Andrew Omobamidele,DF,understat,low-volume DF,0.418,1,3.0,0.05,2526+2627,2627
10300,Jeanuël Belocian,DF,understat,low-volume DF,0.082,1,3.0,0.06,2526+2627,2627
10413,Giovanni Bonfanti,DF,understat,low-volume DF,0.133,0,3.0,0.0,2526,2627
11026,Luka Lochoshvili,DF,understat,low-volume DF,0.644,3,3.0,0.21,2627,2627
11073,Fabio Chiarodia,DF,understat,low-volume DF,0.173,0,3.0,0.0,2425+2526,2627
11704,Hjalmar Ekdal,DF,understat,low-volume DF,0.238,0,3.0,0.0,2526,2627
11751,Joseph Okumu,DF,understat,low-volume DF,0.532,0,3.0,0.0,2425,2627
11806,Sadibou Sané,DF,understat,low-volume DF,0.538,0,3.0,0.0,2526,2627
11879,Anthony Oyono,DF,understat,low-volume DF,0.32,3,3.0,0.11,2627,2627
12250,Elias Baum,DF,understat,low-volume DF,0.357,3,3.0,0.21,2627,2627
12356,Saba Goglichidze,DF,understat,low-volume DF,0.15,0,3.0,0.0,2425+2526,2627
12958,Alessandro Marcandalli,DF,understat,low-volume DF,0.773,0,3.0,0.0,2425+2526,2627
13068,Morato,DF,understat,low-volume DF,0.433,0,3.0,0.0,2425+2526,2627
13185,Jahmai Simpson-Pusey,DF,understat,low-volume DF,0.388,0,3.0,0.0,2526,2627
13496,Karim Coulibaly,DF,understat,low-volume DF,0.396,0,3.0,0.0,2526,2627
13776,Jorrel Hato,DF,understat,low-volume DF,0.177,1,3.0,0.03,2526+2627,2627
13929,Riyad Idrissi,DF,understat,low-volume DF,0.028,0,3.0,0.0,2526,2627
13999,Terry Yegbe,DF,understat,low-volume DF,0.704,0,3.0,0.0,2526,2627
14099,Luke O&#039;Nien,DF,understat,low-volume DF,0.005,1,3.0,0.02,2526+2627,2627
14432,Ali Youssif,DF,understat,low-volume DF,0.114,0,3.0,0.0,2526,2627
14692,Manu Hernando,DF,understat,low-volume DF,0.142,3,3.0,0.12,2627,2627
14770,Anan Khalaili,DF,understat,low-volume DF,0.474,3,3.0,0.38,2627,2627
14811,Xavier Mandza,DF,understat,low-volume DF,0.302,3,3.0,0.04,2627,2627
14828,Adrien Monfray,DF,understat,low-volume DF,0.28,3,3.0,0.53,2627,2627
14887,Gabriele Calvani,DF,understat,low-volume DF,0.584,3,3.0,0.1,2627,2627
14888,Gabriele Bracaglia,DF,understat,low-volume DF,0.102,3,3.0,0.28,2627,2627
14957,Laurin Curda,DF,understat,low-volume DF,0.635,3,3.0,0.34,2627,2627
14997,Lucas Maronnier,DF,understat,low-volume DF,0.29,3,3.0,0.5,2627,2627
557,Matteo Darmian,DF,understat,low-volume DF,0.048,0,2.8,0.0,2425,2627
1463,Francesco Acerbi,DF,understat,low-volume DF,0.543,0,2.8,0.0,2425+2526,2627
7002,Giangiacomo Magnani,DF,understat,low-volume DF,0.606,0,2.8,0.0,2425,2627
7245,Javi Sánchez,DF,understat,low-volume DF,0.33,0,2.8,0.0,2425,2627
8070,Mateu Morey,DF,understat,low-volume DF,0.229,0,2.8,0.0,2425+2526,2627
8103,Modibo Sagnan,DF,understat,low-volume DF,0.514,0,2.8,0.0,2425,2627
8380,Pablo Marí,DF,understat,low-volume DF,0.124,0,2.8,0.0,2425+2526,2627
9855,Mattia Viti,DF,understat,low-volume DF,0.141,0,2.8,0.0,2425,2627
10389,Fali Candé,DF,understat,low-volume DF,0.157,0,2.8,0.0,2425+2526,2627
12317,Nhoa Sangui,DF,understat,low-volume DF,0.136,0,2.8,0.0,2425+2526,2627
12430,Nnamdi Collins,DF,understat,low-volume DF,0.167,0,2.8,0.0,2425+2526,2627
943,Massadio Haidara,DF,understat,low-volume DF,0.123,0,2.5,0.0,2425,2627
1370,Federico Ceccherini,DF,understat,low-volume DF,0.001,0,2.5,0.0,2526,2627
1673,Edimilson Fernandes,DF,understat,low-volume DF,0.458,0,2.5,0.0,2425,2627
4160,David Costas,DF,understat,low-volume DF,0.63,0,2.5,0.0,2526,2627
5238,Jordan Torunarigha,DF,understat,low-volume DF,0.121,0,2.5,0.0,2526,2627
5803,Fode Toure,DF,understat,low-volume DF,0.092,0,2.5,0.0,2526,2627
5989,Moussa Niakhate,DF,understat,low-volume DF,0.192,0,2.5,0.0,2425+2526,2627
6239,Junior Sambia,DF,understat,low-volume DF,0.638,0,2.5,0.0,2425,2627
6485,Júnior Firpo,DF,understat,low-volume DF,0.669,0,2.5,0.0,2526,2627
7430,Emerson,DF,understat,low-volume DF,0.64,0,2.5,0.0,2425,2627
7632,Ivan Ordets,DF,understat,low-volume DF,0.49,0,2.5,0.0,2425,2627
7791,Sebastiaan Bornauw,DF,understat,low-volume DF,0.682,0,2.5,0.0,2425+2526,2627
8314,Yvann Maçon,DF,understat,low-volume DF,0.629,0,2.5,0.0,2425,2627
9631,Christopher Wooh,DF,understat,low-volume DF,0.551,0,2.5,0.0,2425,2627
9679,Rico Henry,DF,understat,low-volume DF,0.256,0,2.5,0.0,2526,2627
10224,Mika Mármol,DF,understat,low-volume DF,0.291,0,2.5,0.0,2425,2627
10757,Scott McKenna,DF,understat,low-volume DF,0.355,0,2.5,0.0,2425,2627
10811,Ismaily,DF,understat,low-volume DF,0.043,0,2.5,0.0,2425,2627
10817,Paul Joly,DF,understat,low-volume DF,0.542,0,2.5,0.0,2425,2627
11031,Kilian Fischer,DF,understat,low-volume DF,0.459,0,2.5,0.0,2425+2526,2627
11105,Abdul Mumin,DF,understat,low-volume DF,0.228,0,2.5,0.0,2425,2627
11311,Aurélio Buta,DF,understat,low-volume DF,0.303,0,2.5,0.0,2425+2526,2627
11747,Juan Herzog,DF,understat,low-volume DF,0.495,0,2.5,0.0,2425,2627
11924,Clemens Riedel,DF,understat,low-volume DF,0.623,1,2.5,0.02,2526+2627,2627
12530,Mikayil Faye,DF,understat,low-volume DF,0.135,0,2.5,0.0,2425+2526,2627
12535,Josh Acheampong,DF,understat,low-volume DF,0.336,0,2.5,0.0,2425+2526,2627
12745,Jacob Greaves,DF,understat,low-volume DF,0.424,0,2.5,0.0,2425,2627
12755,Cameron Burgess,DF,understat,low-volume DF,0.689,0,2.5,0.0,2425,2627
12926,Bruno Ogbus,DF,understat,low-volume DF,0.305,0,2.5,0.0,2526,2627
13779,Jair,DF,understat,low-volume DF,0.423,1,2.5,0.01,2526+2627,2627
13960,Fallou Cham,DF,understat,low-volume DF,0.494,0,2.5,0.0,2526,2627
13974,Isaac Schmidt,DF,understat,low-volume DF,0.6,0,2.5,0.0,2526,2627
14013,Adam El Mokhtari,DF,shot-profile,low-volume DF,0.2,0,2.5,0.0,2526,2627
14048,Calvin Verdonk,DF,understat,low-volume DF,0.038,1,2.5,0.01,2526+2627,2627
14065,Juan Rodríguez,DF,understat,low-volume DF,0.097,1,2.5,0.02,2526+2627,2627
14334,Thiago Borbas,DF,shot-profile,low-volume DF,0.346,0,2.5,0.0,2526,2627
14382,Eivind Helland,DF,understat,low-volume DF,0.576,2,2.5,0.16,2526+2627,2627
14396,Alexander Freeman,DF,understat,low-volume DF,0.6,2,2.5,0.06,2526+2627,2627
660,Ben Davies,DF,understat,low-volume DF,0.528,0,2.2,0.0,2425+2526,2627
1193,Lorenzo De Silvestri,DF,understat,low-volume DF,0.518,0,2.2,0.0,2425,2627
1247,Juan Jesus,DF,understat,low-volume DF,0.499,0,2.2,0.0,2425+2526,2627
1523,Danilo D&#039;Ambrosio,DF,understat,low-volume DF,0.061,0,2.2,0.0,2425,2627
3203,Issa Diop,DF,understat,low-volume DF,0.524,0,2.2,0.0,2425+2526,2627
3239,Hamari Traore,DF,understat,low-volume DF,0.492,0,2.2,0.0,2425+2526,2627
5137,Álex Muñoz,DF,understat,low-volume DF,0.263,0,2.2,0.0,2425,2627
5672,Iván Balliu,DF,understat,low-volume DF,0.175,0,2.2,0.0,2425+2526,2627
6436,Stanley N&#039;Soki,DF,understat,low-volume DF,0.081,0,2.2,0.0,2425+2526,2627
6816,Jean-Clair Todibo,DF,understat,low-volume DF,0.383,0,2.2,0.0,2425+2526,2627
7432,Reinildo,DF,understat,low-volume DF,0.246,0,2.2,0.0,2425+2526,2627
8423,Jon Pacheco Dozagarat,DF,understat,low-volume DF,0.563,0,2.2,0.0,2425+2526,2627
8691,Saidou Sow,DF,understat,low-volume DF,0.576,0,2.2,0.0,2425,2627
8785,Cédric Kipré,DF,understat,low-volume DF,0.045,0,2.2,0.0,2425,2627
9629,El Chadaille Bitshiabu,DF,understat,low-volume DF,0.525,0,2.2,0.0,2425+2526,2627
10862,Tim Oermann,DF,understat,low-volume DF,0.615,0,2.2,0.0,2425,2627
11253,Mamadou Sarr,DF,understat,low-volume DF,0.551,0,2.2,0.0,2425+2526,2627
11816,Abakar Sylla,DF,understat,low-volume DF,0.6,0,2.2,0.0,2425+2526,2627
12358,Oliver Scarles,DF,understat,low-volume DF,0.144,0,2.2,0.0,2425+2526,2627
13156,Pedro Lima,DF,understat,low-volume DF,0.341,0,2.2,0.0,2425+2526,2627
13425,Luca Jaquez,DF,understat,low-volume DF,0.28,0,2.2,0.0,2425+2526,2627
373,Mats Hummels,DF,understat,low-volume DF,0.211,0,2.0,0.0,2425,2627
391,David Alaba,DF,understat,low-volume DF,0.451,0,2.0,0.0,2526,2627
603,Nathaniel Clyne,DF,understat,low-volume DF,0.138,0,2.0,0.0,2425+2526,2627
652,Kieran Trippier,DF,understat,low-volume DF,0.615,0,2.0,0.0,2425+2526,2627
934,Axel Tuanzebe,DF,understat,low-volume DF,0.305,0,2.0,0.0,2425+2526,2627
961,Jordan Amavi,DF,understat,low-volume DF,0.203,0,2.0,0.0,2425,2627
2403,Íñigo Lekue,DF,understat,low-volume DF,0.621,0,2.0,0.0,2425+2526,2627
2452,De Marcos,DF,understat,low-volume DF,0.318,0,2.0,0.0,2425,2627
2597,Dani Calvo,DF,understat,low-volume DF,0.671,0,2.0,0.0,2526,2627
3965,Arturo Calabresi,DF,understat,low-volume DF,0.242,0,2.0,0.0,2526,2627
4052,Ximo Navarro,DF,understat,low-volume DF,0.114,2,2.0,0.06,2627,2627
5177,Caio Henrique,DF,understat,low-volume DF,0.226,0,2.0,0.0,2425+2526,2627
5358,Lukas Klostermann,DF,understat,low-volume DF,0.02,0,2.0,0.0,2425+2526,2627
6100,Felix Uduokhai,DF,understat,low-volume DF,0.453,2,2.0,0.13,2627,2627
6212,Mattia Bani,DF,understat,low-volume DF,0.63,0,2.0,0.0,2425,2627
7040,Patrick Erras,DF,understat,low-volume DF,0.535,0,2.0,0.0,2425,2627
7828,Jorge Sáenz,DF,understat,low-volume DF,0.594,0,2.0,0.0,2425,2627
7856,Aridane Hernández,DF,understat,low-volume DF,0.531,0,2.0,0.0,2425,2627
8687,Kiki Kouyate,DF,understat,low-volume DF,0.279,0,2.0,0.0,2425,2627
10041,Yasser Larouci,DF,understat,low-volume DF,0.056,2,2.0,0.09,2627,2627
10940,Giacomo Quagliata,DF,understat,low-volume DF,0.125,2,2.0,0.02,2627,2627
11147,Lucas Rosa,DF,understat,low-volume DF,0.164,0,2.0,0.0,2425,2627
11167,Chadi Riad,DF,understat,low-volume DF,0.429,0,2.0,0.0,2526,2627
11990,Mateus Lusuardi,DF,understat,low-volume DF,0.028,0,2.0,0.0,2526,2627
12074,David López,DF,understat,low-volume DF,0.505,0,2.0,0.0,2526,2627
